Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 есв ястисонто месв ок отэ;тюарги; это ко всем относится — все ; играют ;,  ;как по нотам), с легкой ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [Фэтти, nick]   Но поскольку речь идет именно о фильме… Тихонов, удивительно точный, ни разу не сфальшививший (впрочем, это ко всем относится — все играют, как по нотам), с легкой ироничностью смотрящий на окружающих: «Все равно наша возьмет.  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
 ен йечоловс ыб хикак вокабаТ;ларги; Табаков, каких бы сволочей не ; играл ;,  ;всегда обаятелен.  ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [Фэтти, nick]   Табаков — ну он всегда Табаков, каких бы сволочей не играл, всегда обаятелен.  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
 оннанзосоен авонориМ ашаМ акчод оге;аларги; его дочка Маша Миронова неосознанно ; играла ;  ;роль сына пианистки Кэт.  ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [IW-GDK, nick]   И не смущает тот факт что, пока в 1973 году Андрей Миронов в России подрабатывал гидом для группы итальянских туристов, в число которых входил хромой профессор Плейшнер (неудачно вывалившийся из окна дома на Цветочной улице), его дочка Маша Миронова неосознанно играла роль сына пианистки Кэт.  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
 идюл какин ииссефорп йотэ в;тюарги; в этой профессии никак, люди ; играют ;  ;по обе стороны, придерживаясь одной ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [IvanVS, nick]   Без риска в этой профессии никак, люди играют по обе стороны, придерживаясь одной, они не принадлежат себе.  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
 ацилритШ оготинеманз ьлор ьлор юунвалГ;теарги; Главную роль, роль знаменитого Штирлица, ; играет ;  ;прекрасный актер Вячеслав Тихонов.  ;коллективный. Форум: 17 мгновений весны (2005-2010) ;коллективный ; ;Форум: 17 мгновений весны ;2005-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2005-2010 ;электронный текст ;омонимия снята; [MC LOUD, муж]   Главную роль, роль знаменитого Штирлица, играет прекрасный актер Вячеслав Тихонов.  [коллективный. Форум: 17 мгновений весны (2005-2010)] [омонимия снята]
 итсач йеьтерт зи аретка уживанеН;огещюарги; Ненавижу актера из третьей части, ; играющего ;  ;Дракулу (собственно из-за и не ;коллективный. Форум: Блэйд (трилогия) Blade (2008-2010) ;коллективный ; ;Форум: Блэйд (трилогия) Blade ;2008-2010 ;электронная коммуникация ,  нехудожественная ;форум ;досуг, зрелища и развлечения ; ;2008-2010 ;электронный текст ;омонимия снята; [Магистр Йода, nick]   Ненавижу актера из третьей части, играющего Дракулу (собственно из-за и не стал смотреть Побег).  [коллективный. Форум: Блэйд (трилогия) Blade (2008-2010)] [омонимия снята]
 мечирп ахол огоксьлес дялгзв от-йокак;огещюарги; какой-то взгляд сельского лоха, причем ; играющего ;  ;на уровне первокурсника местной театральной ;коллективный. Форум: Блэйд (трилогия) Blade (2008-2010) ;коллективный ; ;Форум: Блэйд (трилогия) Blade ;2008-2010 ;электронная коммуникация ,  нехудожественная ;форум ;досуг, зрелища и развлечения ; ;2008-2010 ;электронный текст ;омонимия снята; [Магистр Йода, nick]   Какие-то щенячьи глазки, какой-то взгляд сельского лоха, причем играющего на уровне первокурсника местной театральной школы.  [коллективный. Форум: Блэйд (трилогия) Blade (2008-2010)] [омонимия снята]
 тедуб отк онся ьрепет и;ьтарги; и теперь ясно кто будет ; играть ;  ;Горлума в Хоббите (это внутренняя ;коллективный. Форум: Блэйд (трилогия) Blade (2008-2010) ;коллективный ; ;Форум: Блэйд (трилогия) Blade ;2008-2010 ;электронная коммуникация ,  нехудожественная ;форум ;досуг, зрелища и развлечения ; ;2008-2010 ;электронный текст ;омонимия снята; [Эндрю, nick]   . да, и теперь ясно кто будет играть Горлума в Хоббите (это внутренняя шутка такая).  [коллективный. Форум: Блэйд (трилогия) Blade (2008-2010)] [омонимия снята]
 онрутлах спйанС таволяв нешкэ ылукарД;теарги; Дракулы, экшен вяловат, Снайпс халтурно ; играет ;,  ;как робот.  ;коллективный. Форум: Блэйд (трилогия) Blade (2008-2010) ;коллективный ; ;Форум: Блэйд (трилогия) Blade ;2008-2010 ;электронная коммуникация ,  нехудожественная ;форум ;досуг, зрелища и развлечения ; ;2008-2010 ;электронный текст ;омонимия снята; [zvr2000, nick]   Доминик Персел смотрится неуместно в роли Дракулы, экшен вяловат, Снайпс халтурно играет, как робот.  [коллективный. Форум: Блэйд (трилогия) Blade (2008-2010)] [омонимия снята]
 ежад иинелвяоп мовреп оге ирп;теарги; при его первом появлении даже ; играет ;  ;что-то такое олдскуловое, хотя весь ;коллективный. Форум: Блэйд (трилогия) Blade (2008-2010) ;коллективный ; ;Форум: Блэйд (трилогия) Blade ;2008-2010 ;электронная коммуникация ,  нехудожественная ;форум ;досуг, зрелища и развлечения ; ;2008-2010 ;электронный текст ;омонимия снята; [Perfect Enemy, nick]   Старый консерватор, почти отец Блэйда, при его первом появлении даже играет что-то такое олдскуловое, хотя весь саундтрек заточен был под хип-хоп и всевозможную электронщину.  [коллективный. Форум: Блэйд (трилогия) Blade (2008-2010)] [омонимия снята]
 янсеп аз отч теанз ен;теарги; не знает, что за песня ; играет ;  ;на фоне с женским вокалом ;коллективный. Форум: Блэйд (трилогия) Blade (2008-2010) ;коллективный ; ;Форум: Блэйд (трилогия) Blade ;2008-2010 ;электронная коммуникация ,  нехудожественная ;форум ;досуг, зрелища и развлечения ; ;2008-2010 ;электронный текст ;омонимия снята; [Travius, nick]   Никто не знает, что за песня играет на фоне с женским вокалом?  [коллективный. Форум: Блэйд (трилогия) Blade (2008-2010)] [омонимия снята]
 адгоК телиб оген в ьтатсод;тюарги; достать в него билет, Когда ; играют ;  ;лучшие актеры, Когда непредсказуемый сюжет ;коллективный. Форум: Поход в цирк (2010) ;коллективный ; ;Форум: Поход в цирк ;2010 ;электронная коммуникация ,  нехудожественная ;блог ;досуг, зрелища и развлечения, спорт ; ;2010 ;электронный текст ;омонимия снята; [karelea, жен]   Бывает, не достать в него билет, Когда играют лучшие актеры, Когда непредсказуемый сюжет Великие готовят режиссеры.  [коллективный. Форум: Поход в цирк (2010)] [омонимия снята]
 ен КАТ ыретка еыннемервос яндогес;тюарги; сегодня современные актеры ТАК не ; играют ;.  ; ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [Nezabudka]   Жаль, что сегодня современные актеры ТАК не играют.  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 отч умотоП огесв еерокС ;тюарги;  [wowmax, муж]   Скорее всего… Потому что ; играют ;  ;в фильме просто потрясающе абсолютно ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [wowmax, муж]   Скорее всего… Потому что играют в фильме просто потрясающе абсолютно все: от Фрейндлих до Басилашвили!  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 хнилднйерФ асилА анищнеж ен анО;теарги; Она не женщина…» Алиса Фрейндлинх ; играет ;  ;женщину, у которой, что ни ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [sochi2014]   «Она не женщина…» Алиса Фрейндлинх играет женщину, у которой, что ни день, то будни, рабочие будни.  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 хыроток веорег хиовс овтснишьлоб лавозиреткарахо;теарги; охарактеризовал большинство своих героев, которых ; играет ;…  ;способные на Поступок, на безумства ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [sochi2014]   Он не серость, в одном из фильмов он прекрасно охарактеризовал большинство своих героев, которых играет… способные на Поступок, на безумства, на спонтанные решения.  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 ястеавыдалкс отч огонм кат ёе;теарги; её так много, что складывается, ; играет ;  ;одну из главных ролей.  ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [sochi2014]   Она не так часто появляется в фильме, но её так много, что складывается, играет одну из главных ролей.  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 овилтналат ьнечо вокгяМ йерднА реткА;ларги; Актер Андрей Мягков очень талантливо ; играл ;  ;подобных персонажей, которые сначала кажутся ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [elena str]   Актер Андрей Мягков очень талантливо играл подобных персонажей, которые сначала кажутся не очень самостоятельными и легко поддающимися влиянию, но в конце храбро показывают свой характер.  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 ен йерднА отч еинелтачепв еокат;ларги; такое впечатление, что Андрей не ; играл ;  ;роль, а жил её, браво ;коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010) ;коллективный ; ;Форум: рецензии на фильм «Службный роман» ;2006-2010 ;электронная коммуникация ,  нехудожественная ;комментарии ;досуг, зрелища и развлечения, искусство и культура ; ;2006-2010 ;электронный текст ;омонимия снята; [Gulid 13, муж]   В этом фильме Мягков сыграл блестяще, показав эмоции Новосельцева очень реальными и правдоподобными, иногда создавалось такое впечатление, что Андрей не играл роль, а жил её, браво!  [коллективный. Форум: рецензии на фильм «Службный роман» (2006-2010)] [омонимия снята]
 могурд с ым ессалк 8;иларги; 8 классе, мы с другом ; играли ;  ;в снежки, и нас забрали ;Переписка в icq между agd-ardin и Колючий друг (2008.02.08) ; ; ;Переписка в icq между agd-ardin и Колючий друг ;2008.02.08 ;электронная коммуникация ,  нехудожественная ;интернет-пейджер ;частная жизнь ; ; ;электронный текст ;омонимия снята;" [agd-ardin, nick]   У меня, кстати, был один опыт общения с ментами ) это было в 8 классе, мы с другом играли в снежки, и нас забрали за ""драку"" ) просидели там часа 4…  [Переписка в icq между agd-ardin и Колючий друг (2008.02.08)] [омонимия снята]"
 ырги в окьлот мат Я;ларги; Я там только в игры ; играл ;  ;"  Самая интеллектуальная конечно ""букварик""  ";Переписка в icq между agd-ardin и Колючий друг (2008.02.08) ; ; ;Переписка в icq между agd-ardin и Колючий друг ;2008.02.08 ;электронная коммуникация ,  нехудожественная ;интернет-пейджер ;частная жизнь ; ; ;электронный текст ;омонимия снята;" [agd-ardin, nick]   Да   Я там только в игры играл   Самая интеллектуальная конечно ""букварик""  [Переписка в icq между agd-ardin и Колючий друг (2008.02.08)] [омонимия снята]"
 окчуЛ аралК мат йынчосарк йокат;теарги; такой красочный, там Клара Лучко ; играет ;,  ;и он мне нравится, а ;Переписка в icq между agd-ardin и Колючий друг (2008.01.16) ; ; ;Переписка в icq между agd-ardin и Колючий друг ;2008.01.16 ;электронная коммуникация ,  нехудожественная ;интернет-пейджер ;образование ; ; ;электронный текст ;омонимия снята; [agd-ardin, nick]   Но их два: один такой красочный, там Клара Лучко играет, и он мне нравится, а другой какой-то без декораций, в желтой гамме снят, там Неелова  [Переписка в icq между agd-ardin и Колючий друг (2008.01.16)] [омонимия снята]
 ежот ыТ  ;ьшеарги;  [agd-ardin, nick]   )   Ты тоже ; играешь ;  ;в эту игру?   ?? ]  ;Переписка в icq между agd-ardin и Колючий друг (2007.12.21) ; ; ;Переписка в icq между agd-ardin и Колючий друг ;2007.12.21 ;электронная коммуникация ,  нехудожественная ;интернет-пейджер ;образование ; ; ;электронный текст ;омонимия снята; [agd-ardin, nick]   )   Ты тоже играешь в эту игру?   ?? ]  [Переписка в icq между agd-ardin и Колючий друг (2007.12.21)] [омонимия снята]
 ежот ашаС  юанз Я ;теарги;  [agd-ardin, nick]   Я знаю!   Саша тоже ; играет ;  ;в эту игру!   )  ;Переписка в icq между agd-ardin и Колючий друг (2007.12.21) ; ; ;Переписка в icq между agd-ardin и Колючий друг ;2007.12.21 ;электронная коммуникация ,  нехудожественная ;интернет-пейджер ;образование ; ; ;электронный текст ;омонимия снята; [agd-ardin, nick]   Я знаю!   Саша тоже играет в эту игру!   )  [Переписка в icq между agd-ardin и Колючий друг (2007.12.21)] [омонимия снята]
 асиртка атэ еж едг ьтинмопсв;аларги; вспомнить, где же эта актриса ; играла ;,  ;и весь вечер пытаешься вспомнить ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята;" "" И всё,… кино уже не смотришь, а пытаешься вспомнить, где же эта актриса играла, и весь вечер пытаешься вспомнить, и ещё половину следующего дня.  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]"
 огороток ларенег йикцемен ьдубин-йокак емьлиф;теарги; фильме какой-нибудь немецкий генерал, которого ; играет ;  ;худой, остроносый литовский артист, говорит ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята;" Потому что, когда в каком-нибудь, даже совсем дурацком фильме какой-нибудь немецкий генерал, которого играет худой, остроносый литовский артист, говорит другому противному, толстому немецкому генералу, которого играет… другой литовский артист… так вот он говорит: ""Вы не знаете этих русских, они не сдадутся…"", или: ""… он вам всё равно ничего не скажет, этот Иван…  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]"
 ано мороток в оник юртомс;аларги; смотрю кино, в котором она ; играла ;,  ;или вообще кино того времени ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята;  А я смотрю кино, в котором она играла, или вообще кино того времени и не могу себе представить, что в том мире, в том времени, когда снималось это кино, был такой же воздух, мухи летали, была пыль в воздухе, и воздух был вот такой, неплотный.  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 акызум яанчипиркс ьдубин-яакак оньлетазябо и;теарги; и обязательно какая-нибудь скрипичная музыка ; играет ;,  ;чтобы подчеркнуть, что это классика ;Евгений Гришковец. ОдноврЕмЕнно (2004) ;Евгений Гришковец ;1967 ;ОдноврЕмЕнно ;2004 ;художественная ;пьеса ; ;Е. Гришковец. Город: Сб. пьес ;2001 ;книга ;омонимия снята; Или смотрим передачу про какую-нибудь картинную галерею, и показывают картины… этих фламандцев, и обязательно какая-нибудь скрипичная музыка играет, чтобы подчеркнуть, что это классика…  [Евгений Гришковец. ОдноврЕмЕнно (2004)] [омонимия снята]
 хаткеорп хикат в еинечанз еоннепетсовреп;тюарги; первостепенное значение в таких проектах ; играют ;  ;процессы управления и специалисты, которые ;Наталья Дубова. Вокруг ITSM // «Computerworld», 2004 ;Наталья Дубова ; ;Вокруг ITSM ;2004 ;публицистика, нехудожественная ;статья ;бизнес, коммерция, экономика, финансы ;«Computerworld» ;2004 ;журнал ;омонимия снята;  Во многих докладах, посвящённых практическому опыту внедрения ITSM, подчеркивалось, что первостепенное значение в таких проектах играют процессы управления и специалисты, которые их реализуют.  [Наталья Дубова. Вокруг ITSM // «Computerworld», 2004] [омонимия снята]
 яиголотнО ;теарги;   Онтология ; играет ;  ;важную роль в организации семантического ;С. Г. Керимов. Интеллектуальный поиск информации, основанный на онтологии // «Информационные технологии», 2004 ;С. Г. Керимов ; ;Интеллектуальный поиск информации, основанный на онтологии ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята;  Онтология играет важную роль в организации семантического поиска информационных ресурсов Интернет.  [С. Г. Керимов. Интеллектуальный поиск информации, основанный на онтологии // «Информационные технологии», 2004] [омонимия снята]
 или ичон и инд отч;тюарги; что дни и ночи или ; играют ;,  ;или сидят в Интернете.  ;Юлия Ковалева. Комментарий психолога // «Даша», 2004 ;Юлия Ковалева ; ;Комментарий психолога ;2004 ;публицистика, нехудожественная ;комментарий ;частная жизнь ;«Даша» ;2004 ;журнал ;омонимия снята;  Родители во всём мире жалуются на то, что детей невозможно оторвать от компьютера, что они не гуляют, не учатся, не высыпаются из-за того, что дни и ночи или играют, или сидят в Интернете.  [Юлия Ковалева. Комментарий психолога // «Даша», 2004] [омонимия снята]
 ен зар как илор йокакин;теарги; никакой роли как раз не ; играет ;.  ; ;В. Э. Карпов, Т. В. Мещерякова. Об автоматизации нетворческих литературных процессов // «Информационные технологии», 2004 ;В. Э. Карпов, Т. В. Мещерякова ; ;Об автоматизации нетворческих литературных процессов ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята; Только эта логика и сюжетная строгость для нашей области никакой роли как раз не играет.  [В. Э. Карпов, Т. В. Мещерякова. Об автоматизации нетворческих литературных процессов // «Информационные технологии», 2004] [омонимия снята]
 килваП анецс яанчыбО  ьртунвов юавыдялгаз;теарги; заглядываю вовнутрь…  Обычная сцена ? Павлик ; играет ;  ;на компьютере.  Более того, я ;Елена Павлова. Вместе мы эту пропасть одолеем! // «Даша», 2004 ;Елена Павлова ; ;Вместе мы эту пропасть одолеем! ;2004 ;публицистика, нехудожественная ;статья ;частная жизнь ;«Даша» ;2004 ;журнал ;омонимия снята;  Осторожно приоткрываю дверь и заглядываю вовнутрь…  Обычная сцена ? Павлик играет на компьютере.  Более того, я бы сильно удивилась, если бы он делал что-нибудь другое ? читал или занимался, ? хотя последний вариант, конечно, просто невероятен…  [Елена Павлова. Вместе мы эту пропасть одолеем! // «Даша», 2004] [омонимия снята]
