Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 ешьнем ыботч ьтажас кат одан;илачрот; надо так сажать, чтобы меньше ; торчали ;"!""  "; ;Что там зреет на селе? (2003) // «Аргументы и факты», 2003.07.23 ; ; ;Что там зреет на селе? ;2003 ;публицистика, нехудожественная ;статья ;политика и общественная жизнь ;«Аргументы и факты» ;2003.07.23 ;газета ;омонимия снята;" Председатель его не понял, и тогда Ельцин объяснил: ""Сахар теряете, надо так сажать, чтобы меньше торчали!""  [Что там зреет на селе? (2003) // «Аргументы и факты», 2003.07.23] [омонимия снята]"
 атевс ыноротс есв ов еж;тачрот; же во все стороны света ; торчат ;  ;четыре антенны.  ;Андрей Колесников. Бублики Мондео (2002) // «Автопилот», 2002.01.15 ;Андрей Колесников ; ;Бублики Мондео ;2002 ;публицистика, нехудожественная ;дневник ;частная жизнь ;«Автопилот» ;2002.01.15 ;журнал ;омонимия снята;" Из крыши ""320-го"" к тому же во все стороны света торчат четыре антенны.  [Андрей Колесников. Бублики Мондео (2002) // «Автопилот», 2002.01.15] [омонимия снята]"
 ППК йоктяокур даН ;тачрот;  Над рукояткой КПП ; торчат ;  ;ещё две рукоятки, наводящие на ;Николай Качурин, Денис Литошик. Главное - маневры (2002) // «Автопилот», 2002.03.15 ;Николай Качурин, Денис Литошик ; ;Главное - маневры ;2002 ;публицистика, нехудожественная ;статья ;техника ;«Автопилот» ;2002.03.15 ;журнал ;омонимия снята; Над рукояткой КПП торчат ещё две рукоятки, наводящие на мысль о газонокосилке.  [Николай Качурин, Денис Литошик. Главное - маневры (2002) // «Автопилот», 2002.03.15] [омонимия снята]
 отолоб в ясйешвуняторп от-адукто ысок;илачрот; косы, откуда-то протянувшейся в болото, ; торчали ;  ;в небо три склонённых брёвна ;Василь Быков. Болото (2001) ;Василь Быков ;1924 ;Болото ;2001 ;художественная ;повесть ; ;Василь Быков. «Бедные люди» ;2002 ;книга ;омонимия снята; На самом мыску хвойной косы, откуда-то протянувшейся в болото, торчали в небо три склонённых брёвна, скреплённых в вершинах, ― это был тригопункт.  [Василь Быков. Болото (2001)] [омонимия снята]
 ен ёще я межатс ос;лачрот; со стажем: я ещё не ; торчал ;  ;здесь в пробке, которая была ;Михаил Виноградов. Путин в пробке. Депутатам мешают кортежи президента и премьера (2001) // «Известия», 2001.07.04 ;Михаил Виноградов ; ;Путин в пробке. Депутатам мешают кортежи президента и премьера ;2001 ;публицистика, нехудожественная ;статья ;политика и общественная жизнь ;«Известия» ;2001.07.04 ;газета ;омонимия снята; Однако поверьте токийскому автомобилисту со стажем: я ещё не торчал здесь в пробке, которая была бы вызвана проездом высочайшего кортежа.  [Михаил Виноградов. Путин в пробке. Депутатам мешают кортежи президента и премьера (2001) // «Известия», 2001.07.04] [омонимия снята]
 ан ьсолунктирп мозарбо мымижитсопен онО;мещачрот; Оно непостижимым образом приткнулось на ; торчащем ;  ;из морской воды гранитном постаменте ;Владимир Гаков. Во Францию -- на машине времени (2001) // «Туризм и образование», 2001.03.15 ;Владимир Гаков ; ;Во Францию -- на машине времени ;2001 ;публицистика, нехудожественная ;очерк ;путешествия ;«Туризм и образование» ;2001.03.15 ;журнал ;омонимия снята; Оно непостижимым образом приткнулось на торчащем из морской воды гранитном постаменте размером с современный стадион.  [Владимир Гаков. Во Францию -- на машине времени (2001) // «Туризм и образование», 2001.03.15] [омонимия снята]
 ястенатсо йытрёвтеЧ ;ьтачрот;  Четвёртый останется ; торчать ;  ;в летнем спортивном лагере.  ;Андрей Геласимов. Фокс Малдер похож на свинью (2001) ;Андрей Геласимов ;1966 ;Фокс Малдер похож на свинью ;2001 ;художественная ;повесть ; ;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы ;2001 ;книга ;омонимия снята; Четвёртый останется торчать в летнем спортивном лагере.  [Андрей Геласимов. Фокс Малдер похож на свинью (2001)] [омонимия снята]
 и ужуран ьсолавичаровыв оно анверб;олачрот;" бревна"", оно выворачивалось наружу и "; торчало ;  ;под самым немыслимым углом, потрескивая ;Андрей Геласимов. Фокс Малдер похож на свинью (2001) ;Андрей Геласимов ;1966 ;Фокс Малдер похож на свинью ;2001 ;художественная ;повесть ; ;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы ;2001 ;книга ;омонимия снята;"  Когда огонь доходил до ""бревна"", оно выворачивалось наружу и торчало под самым немыслимым углом, потрескивая и воняя, пока наконец не сгорало, или пока ты не выбрасывал полупогасшую сигарету.  [Андрей Геласимов. Фокс Малдер похож на свинью (2001)] [омонимия снята]"
 игон йоннаврото отсемв йот у;тичрот; у той вместо оторванной ноги ; торчит ;  ;синий карандаш.  ;Андрей Геласимов. Чужая бабушка (2001) ;Андрей Геласимов ;1966 ;Чужая бабушка ;2001 ;художественная ;рассказ ; ;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы ;2001 ;книга ;омонимия снята;  Я смотрю на её Мальвину, а у той вместо оторванной ноги торчит синий карандаш.  [Андрей Геласимов. Чужая бабушка (2001)] [омонимия снята]
 олатавх ен атнезерб едг яарк;илачрот; края, где брезента не хватало, ; торчали ;  ;то сиротливая рука, то дровни ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; В углу ползла на стену уже свалка: всё там было сгружено прямо на пол, на брезент, и покрыто, как чехлом, брезентовым полотнищем, но с края, где брезента не хватало, торчали то сиротливая рука, то дровни ног.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 аляедо огонятсреш доп-зИ  хаклисон ан;илачрот; на носилках.  Из-под шерстяного одеяла ; торчали ;  ;две ноги.  Нога… ноги эти ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; Покойник просторно вытянулся на носилках.  Из-под шерстяного одеяла торчали две ноги.  Нога… ноги эти сами лезли в глаза.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 итсоньледто оп кадэ яаджак ыдов;алачрот; воды, каждая эдак по отдельности ; торчала ;,  ;налитая смертным воплем, она, нога ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; А из-под одеяла смертного, тоже на вид свинцового, как из-под воды, каждая эдак по отдельности торчала, налитая смертным воплем, она, нога, растопыря толстые обрубки пальцев, которыми нельзя ни за что ухватиться, даже если захотеть.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 йомьлап йонтосыв йокьнелог хыроток зи;лачрот; из которых голенькой высотной пальмой ; торчал ;  ;фонарный столб с одним-единственным ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; Только у строений с пустыми чёрными оконцами, что были покинуты к этому позднему часу, остались округлые необитаемые островки света, на каждом из которых голенькой высотной пальмой торчал фонарный столб с одним-единственным раскалённым добела орехом на самой верхушке.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 отч икжон икчур еыленевередо ьсилагредаЗ;илачрот; Задергались одеревенелые ручки, ножки, что ; торчали ;  ;палками из удушенного по-удавьи женского ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; Задергались одеревенелые ручки, ножки, что торчали палками из удушенного по-удавьи женского тельца.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 илениш аторов доп-зи огороток у;олачрот; у которого из-под ворота шинели ; торчало ;  ;также что-то уродское, а лицо ;Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001 ;Олег Павлов ;1970 ;Карагандинские девятины, или Повесть последних дней ;2001 ;художественная ;повесть ; ;«Октябрь» ;2001 ;журнал ;омонимия снята; Офицер приглядывался и мрачнел: свежеиспечённый пассажир в уродских сапогах, у которого из-под ворота шинели торчало также что-то уродское, а лицо было явно побито, внушал такое отвращение, что было поздно просить его предъявить документы: это чучело само шло под арест.  [Олег Павлов. Карагандинские девятины, или Повесть последних дней // «Октябрь», 2001] [омонимия снята]
 мокьнеп мотр мытыркто с улинаД;огещачрот; Данилу, с открытым ртом пеньком ; торчащего ;  ;на нарах, и, когда закончила ;Виктор Астафьев. Пролетный гусь (2000) ;Виктор Астафьев ;1924 ;Пролетный гусь ;2000 ;художественная ;повесть ; ;Антология современной прозы. Т. 1. ;2002 ;книга ;омонимия снята;  Всех больных и в помощи нуждающихся солдат Марина сноровисто и быстро обиходила, будто и не замечая Данилу, с открытым ртом пеньком торчащего на нарах, и, когда закончила, присела на ящик, положила руки на колени и выдохнула:  [Виктор Астафьев. Пролетный гусь (2000)] [омонимия снята]
 йороток зи юьлещ йокобулг йыннёовдзар;олачрот; раздвоённый глубокой щелью, из которой ; торчало ;  ;непробритое толстое волосье и давно ;Виктор Астафьев. Пролетный гусь (2000) ;Виктор Астафьев ;1924 ;Пролетный гусь ;2000 ;художественная ;повесть ; ;Антология современной прозы. Т. 1. ;2002 ;книга ;омонимия снята;  Лицо его состояло из комков: лоб― два комка, щёки, всегда закально-красные, ― два комка, подбородок ― один комок, но тоже раздвоённый глубокой щелью, из которой торчало непробритое толстое волосье и давно от слесарной работы залёгший, непромываемый мазут.  [Виктор Астафьев. Пролетный гусь (2000)] [омонимия снята]
 вомлох хитэ жеМ ;лачрот;  Меж этих холмов ; торчал ;  ;курносый носишко, и где-то в ;Виктор Астафьев. Пролетный гусь (2000) ;Виктор Астафьев ;1924 ;Пролетный гусь ;2000 ;художественная ;повесть ; ;Антология современной прозы. Т. 1. ;2002 ;книга ;омонимия снята; Меж этих холмов торчал курносый носишко, и где-то в далёком углублении светились белым глаза со зрачками, как бы проткнутыми шилом.  [Виктор Астафьев. Пролетный гусь (2000)] [омонимия снята]
 и кат йетреч зи нидО;хишвачрот; Один из чертей, так и ; торчавших ;  ;в зале, случайно взорвал очередную ;Вера Белоусова. Второй выстрел (2000) ;Вера Белоусова ;1958 ;Второй выстрел ;2000 ;художественная ;повесть ; ;Вера Белоусова. Второй выстрел ;2000 ;книга ;омонимия снята; Один из чертей, так и торчавших в зале, случайно взорвал очередную хлопушку.  [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
 оконидо вомод хынчолб хынжатэхувд хикьлоксен;хишвачрот; нескольких двухэтажных блочных домов, одиноко ; торчавших ;  ;посреди открытого пространства полей и ;Алексей Варламов. Купавна // «Новый Мир», 2000 ;Алексей Варламов ;1963 ;Купавна ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Поезда по ней давно не ходили, она медленно зарастала травой и кустами, а когда-то вела к рыбхозу, странному для дачной местности поселению, состоявшему из нескольких двухэтажных блочных домов, одиноко торчавших посреди открытого пространства полей и вод.  [Алексей Варламов. Купавна // «Новый Мир», 2000] [омонимия снята]
 икдярг ьнесо доп еыннапоксв еикосыв;илачрот; высокие, вскопанные под осень грядки ; торчали ;,  ;как свежие могилы, окружённые деревьями ;Алексей Варламов. Купавна // «Новый Мир», 2000 ;Алексей Варламов ;1963 ;Купавна ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята;  Пересыхал глубокий карьер, стало непотребно грязным Бисерово озеро, и вовсе перевелась в нём рыба― даже дачные участки, по которым бегали чужие дети, казались похожими на кладбища, где высокие, вскопанные под осень грядки торчали, как свежие могилы, окружённые деревьями, цветами и травой.  [Алексей Варламов. Купавна // «Новый Мир», 2000] [омонимия снята]
 атр ози йогурд ужис ексук;тичрот; куске сижу, другой изо рта ; торчит ;.  ; ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята;" Это была какая-то чрезвычайно простая и утомительная народная игра, по правилам которой я, видимо, должен был отказываться поднести ложку ко рту и упираться до последнего, даже если б умирал с голоду; а партия Ани состояла в том, чтобы всё-таки накормить меня во что бы то ни стало ― хоть бы даже и до рвоты: на одном куске сижу, другой изо рта торчит.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]"
 хин в алкетс итсончарзорпен од;илачрот; до непрозрачности стекла в них ; торчали ;  ;скатки матрасов.  ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята;" Каждое третье окно было выбито; вместо грязного до непрозрачности стекла в них торчали скатки матрасов.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]"
 ьседз ьнед ьсев аречв и;лачрот; и вчера весь день здесь ; торчал ;,  ;Петровичу мосты меняли.  ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; Я и вчера весь день здесь торчал, Петровичу мосты меняли.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 водоваз хыннеов асупрок еырес ьсилуняТ;илачрот; Тянулись серые корпуса военных заводов, ; торчали ;  ;высокие красные трубы со спицами ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; Тянулись серые корпуса военных заводов, торчали высокие красные трубы со спицами громоотводов на самом верху, и кое-где струился из них жидкий дым…  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 йондо в йорки йешвевтсречаз с;олачрот; с зачерствевшей икрой (в одной ; торчало ;  ;несколько окурков), пепельницы, вскрытые консервные ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята;" Ярусом выше ― то есть на столе, на поверхностях кухонного гарнитура и подоконнике ― снова высились разнообразные бутылки (здесь порожних не было; что с крепким ― большей частью раскупоренные; но выглядывали и непочатые), стояли тыркнутые наискось тарелки с зачерствевшей икрой (в одной торчало несколько окурков), пепельницы, вскрытые консервные банки.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]"
 и умечоп коныр йикссур ан;лачрот; на русский рынок, почему и ; торчал ;  ;безвылазно в Москве.  ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята;  К риэлторскому бизнесу Мартин Кроненгер не имел никакого отношения ― он был главой датской полиграфической фирмы, сделавшей ставку на русский рынок, почему и торчал безвылазно в Москве.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 ноко хесв озИ ;илачрот;  Изо всех окон ; торчали ;  ;головы, наблюдая за нашим прибытием ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; Изо всех окон торчали головы, наблюдая за нашим прибытием.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 Я ;лачрот;  Я ; торчал ;  ;истуканом под зонтом, совершенно ни ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; Я торчал истуканом под зонтом, совершенно ни о чём не думая, ― надоело нервничать.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 нов инО ;тачрот;  Они вон ; торчат ;  ;в своих окошечках… им всё ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; Они вон торчат в своих окошечках… им всё равно, что люди ночей не спят… что вся жизнь, вся жизнь!  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 ордоБ ;тичрот;  Бодро ; торчит ;  ;антенка с блестящей пуговкой на ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; Бодро торчит антенка с блестящей пуговкой на конце.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 ьсилавыдалкс ен ыцьлап еишхупсар ьсолачулоп;илачрот; получалось, распухшие пальцы не складывались, ; торчали ;  ;врастопырку, ― сунул женщине под нос ;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;Людмила Улицкая ;1943 ;Казус Кукоцкого [Путешествие в седьмую сторону света] ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята;  ― Да ты ня смотри на него, он дурной, ― опять подмигнула женщина, но спутник её рассердился ещё сильнее, медленно вытащил синюю ручищу и, пытаясь сложить её в кулак ― не получалось, распухшие пальцы не складывались, торчали врастопырку, ― сунул женщине под нос…  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 йороток зи арок яарес-отлеж алсоран;лачрот; наросла желто-серая кора, из которой ; торчал ;  ;разросшийся, как древесный гриб, ноготь ;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;Людмила Улицкая ;1943 ;Казус Кукоцкого [Путешествие в седьмую сторону света] ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; Особенно ужасными были большие пальцы ног ― на них наросла желто-серая кора, из которой торчал разросшийся, как древесный гриб, ноготь.  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
