Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 яиголотнО ;теапутсыв;  Онтология ; выступает ;  ;в качестве посредника между пользователем ;С. Г. Керимов. Интеллектуальный поиск информации, основанный на онтологии // «Информационные технологии», 2004 ;С. Г. Керимов ; ;Интеллектуальный поиск информации, основанный на онтологии ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята; Онтология выступает в качестве посредника между пользователем и поисковой системой.  [С. Г. Керимов. Интеллектуальный поиск информации, основанный на онтологии // «Информационные технологии», 2004] [омонимия снята]
 ьдеречо юовс в еороток автсрадусог;теапутсыв; государства, которое, в свою очередь, ; выступает ;  ;инструментом и гарантией защиты остальных ;Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01 ;Мария Козлова ; ;Свобода совести и светскость государства: проблемы и решения (1 часть) ;2004 ;публицистика, нехудожественная ;статья ;политика и общественная жизнь ;«Адвокат» ;2004.12.01 ;журнал ;омонимия снята; Классической моделью взаимоотношений между гражданином и государством является добровольное отчуждение человеком части своих прав в пользу государства, которое, в свою очередь, выступает инструментом и гарантией защиты остальных оставшихся у гражданина прав.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [омонимия снята]
 вотнерукнок евтсечак в адгоК ;илапутсыв;  Когда в качестве конкурентов ; выступали ;  ;только 64-разрядные RISC-системы, это не ;Михаил Кузьминский. Водопады Supermicro // «Computerworld», 2004 ;Михаил Кузьминский ; ;Водопады Supermicro ;2004 ;публицистика, нехудожественная ;статья ;производство ;«Computerworld» ;2004 ;журнал ;омонимия снята; Когда в качестве конкурентов выступали только 64-разрядные RISC-системы, это не грозило семейству Itanium практически ничем.  [Михаил Кузьминский. Водопады Supermicro // «Computerworld», 2004] [омонимия снята]
 мотнемукод мищюяревотсоду мынвонсО ;теапутсыв;  Основным удостоверяющим документом ; выступает ;  ;сертификат ключа подписи, который центр ;Владислав Кулаков. Нотариусы электронной коммерции // «Computerworld», 2004 ;Владислав Кулаков ; ;Нотариусы электронной коммерции ;2004 ;публицистика, нехудожественная ;статья ;бизнес, коммерция, экономика, финансы ;«Computerworld» ;2004 ;журнал ;омонимия снята; Основным удостоверяющим документом выступает сертификат ключа подписи, который центр выдаёт участникам электронного документооборота.  [Владислав Кулаков. Нотариусы электронной коммерции // «Computerworld», 2004] [омонимия снята]
 яиссоР тевтО ;теапутсыв;   Ответ: Россия ; выступает ;  ;по-прежнему за то, чтобы находить ;С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004 ;С. В. Лавров ;1950 ;Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи ;2004 ;официально-деловая, нехудожественная ;пресс-конференция ;политика и общественная жизнь ;«Дипломатический вестник» ;2004 ;журнал ;омонимия снята;  Ответ: Россия выступает по-прежнему за то, чтобы находить договорённости между самими сторонами.  [С. В. Лавров. Встреча министров иностранных дел прикаспийских государств. Выступление на пресс-конференции по итогам встречи // «Дипломатический вестник», 2004] [омонимия снята]
 ыМ ;меапутсыв;   Мы ; выступаем ;  ;за дальнейшее укрепление культурных, образовательных ;С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004 ;С. В. Лавров ;1950 ;Выступление на приеме в честь празднования Дня Африки ;2004 ;официально-деловая, нехудожественная ;речь ;политика и общественная жизнь ;«Дипломатический вестник» ;2004 ;журнал ;омонимия снята;  Мы выступаем за дальнейшее укрепление культурных, образовательных, общественных связей, парламентских контактов, связей на уровне регионов, которые создают климат доверия и взаимопонимания в отношениях между Россией и африканскими странами.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [омонимия снята]
 ежкат ынартс ишаН ;тюапутсыв;   Наши страны также ; выступают ;  ;с близких позиций в вопросах ;С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004 ;С. В. Лавров ;1950 ;Выступление на сессии ОИК ;2004 ;официально-деловая, нехудожественная ;речь ;политика и общественная жизнь ;«Дипломатический вестник» ;2004 ;журнал ;омонимия снята;  Наши страны также выступают с близких позиций в вопросах противодействия наиболее острым угрозам и вызовам XXI века, таким как международный терроризм и распространение оружия массового уничтожения.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [омонимия снята]
 китсирвэ евтсечак В ;тюапутсыв;  В качестве эвристик ; выступают ;  ;команды, добавляющие новые элементы в ;В. А. Овчинников. Применение генетических алгоритмов в задачах синтеза кузова автомобиля // «Информационные технологии», 2004 ;В. А. Овчинников ; ;Применение генетических алгоритмов в задачах синтеза кузова автомобиля ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята; В качестве эвристик выступают команды, добавляющие новые элементы в структуру.  [В. А. Овчинников. Применение генетических алгоритмов в задачах синтеза кузова автомобиля // «Информационные технологии», 2004] [омонимия снята]
 адовосрукскэ илор в адорог матсем;алапутсыв; местам города в роли экскурсовода ; выступала ;  ;классный руководитель, которая много рассказывала ;М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004 ;М. Э. Боцманова, Р. Д. Триггер ; ;Изучение психологии подростка в лаборатории Д.Б. Эльконина ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, психология ;«Вопросы психологии» ;2004 ;журнал ;омонимия снята;  На прогулках по интересным местам города в роли экскурсовода выступала классный руководитель, которая много рассказывала детям о Москве.  [М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004] [омонимия снята]
 ьлетидовокур йынссалк ежад и йетед;алапутсыв; детей, и даже классный руководитель ; выступала ;  ;под своей девичьей фамилией: мы ;М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004 ;М. Э. Боцманова, Р. Д. Триггер ; ;Изучение психологии подростка в лаборатории Д.Б. Эльконина ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, психология ;«Вопросы психологии» ;2004 ;журнал ;омонимия снята;" К сожалению, эти фотографии не вошли в сборник, так как при издании книги было решено изменить имена и фамилии детей, и даже классный руководитель выступала под своей девичьей фамилией: мы опасались, что книга попадёт в руки детей или их родителей, и мы тогда окажемся в роли ""подсматривающих"", что, вероятно, перекрыло бы все возможности дальнейшей работы.  [М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004] [омонимия снята]"
 ястимертс оно ьлор юуни теаминирп;ьтапутсыв; принимает иную роль: оно стремится ; выступать ;  ;в качестве организатора правил игры ;Лариса Шпаковская. Старые вещи. Ценность: между государством и обществом (2004) // «Неприкосновенный запас», 2004.01.15 ;Лариса Шпаковская ;1975 ;Старые вещи. Ценность: между государством и обществом ;2004 ;публицистика, нехудожественная ;статья ;искусство и культура ;«Неприкосновенный запас» ;2004.01.15 ;журнал ;омонимия снята;  Государство принимает иную роль: оно стремится выступать в качестве организатора правил игры других агентов, в частности определяет правила и нормы антикварной торговли.  [Лариса Шпаковская. Старые вещи. Ценность: между государством и обществом (2004) // «Неприкосновенный запас», 2004.01.15] [омонимия снята]
 тедуб ано трецнок йыньлакину еам;ьтапутсыв; мае уникальный концерт: она будет ; выступать ;  ;на борту самолёта авиакомпании United ;Rendez-vous (2004) // «Экран и сцена», 2004.05.06 ; ; ;Rendez-vous ;2004 ;публицистика, нехудожественная ;информационное сообщение ;досуг, зрелища и развлечения ;«Экран и сцена» ;2004.05.06 ;газета ;омонимия снята;***   Рок-певица Шерил Кроу проведёт в мае уникальный концерт: она будет выступать на борту самолёта авиакомпании United Airlines, совершающего перелёт между Западным и Восточным побережьем США.  [Rendez-vous (2004) // «Экран и сцена», 2004.05.06] [омонимия снята]
 и вотнаргим хыводурт хындорануджем ыдовереп;еищюапутсыв; переводы международных трудовых мигрантов и ; выступающие ;  ;не только каналом для передачи ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004 ; ; ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, бизнес, коммерция, экономика, финансы ;«Вопросы статистики» ;2004 ;журнал ;омонимия снята;  Частью мировой финансовой инфраструктуры, развитие которой в значительной степени способствует решению указанной задачи, являются трансфертные системы, осуществляющие денежные переводы международных трудовых мигрантов и выступающие не только каналом для передачи денег, но также и инструментом экономического и социального развития многих, особенно бедных, стран.  [Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004] [омонимия снята]
 ен и реткарах йынноицюловэ олисон;олапутсыв; носило эволюционный характер и не ; выступало ;  ;катализатором прорывов на отдельных направлениях ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004 ; ; ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, бизнес, коммерция, экономика, финансы ;«Вопросы статистики» ;2004 ;журнал ;омонимия снята; Конкуренция трансфертных систем за право обслуживания таких потоков никогда не была ярко выражена, поэтому влияние этой части мирового совокупного объёма денежных переводов на развитие систем переводов всегда носило эволюционный характер и не выступало катализатором прорывов на отдельных направлениях трансфертного бизнеса, как это происходит сейчас, благодаря росту объёмов переводов международных трудовых мигрантов.  [Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004] [омонимия снята]
 тудуб моредил мынволсузеб от молец;ьтапутсыв; целом, то безусловным лидером будут ; выступать ;  ;почтовые ведомства.  ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004 ; ; ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, бизнес, коммерция, экономика, финансы ;«Вопросы статистики» ;2004 ;журнал ;омонимия снята; Так, если оценивать объём денежных переводов в целом, то безусловным лидером будут выступать почтовые ведомства.  [Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004] [омонимия снята]
 тугом метсис иматнега аруткуртсарфни яативзар;ьтапутсыв; развитая инфраструктура (агентами систем могут ; выступать ;  ;обменные пункты, почтовые ведомства, туристические ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004 ; ; ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, бизнес, коммерция, экономика, финансы ;«Вопросы статистики» ;2004 ;журнал ;омонимия снята;  Недостатками систем клиенты отмечают: высокую стоимость денежных переводов (до 20% от суммы перевода), ограниченную досягаемость ― перевод нельзя ни отправить, ни получить в местности, где отсутствует хорошо развитая инфраструктура (агентами систем могут выступать обменные пункты, почтовые ведомства, туристические агентства, магазины, курьерские службы, аэропорты, вокзалы и пр.)  [Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004] [омонимия снята]
 веачулс евтснишьлоб в метсис иматнега;тюапутсыв; агентами систем в большинстве случаев ; выступают ;  ;нефинансовые организации).  ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004 ; ; ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, бизнес, коммерция, экономика, финансы ;«Вопросы статистики» ;2004 ;журнал ;омонимия снята;  Кроме того, внедрение услуг WU и MG на национальных рынках не формирует финансовую инфраструктуру, а лишь использует уже имеющуюся (тем более, что агентами систем в большинстве случаев выступают нефинансовые организации).  [Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004] [омонимия снята]
 тугом вотнега хывоснаниф евтсечак В;ьтапутсыв; В качестве финансовых агентов могут ; выступать ;  ;те же организации и лица ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004 ; ; ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, бизнес, коммерция, экономика, финансы ;«Вопросы статистики» ;2004 ;журнал ;омонимия снята; В качестве финансовых агентов могут выступать те же организации и лица, что у систем MG и WU. Примером систем перевода денег через Интернет типа online- to- offline является система Хоот, оказывающая услуги по переводу денег в Бангладеш, Доминиканскую Республику, Гонконг, Индию, Ямайку, Непал, Пакистан, Филиппины, Шри-Ланка.  [Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004] [омонимия снята]
 ыдог еинделсоп в оннебосо умёъбо;тюапутсыв; объёму, особенно в последние годы, ; выступают ;  ;мощным стимулирующим фактором развития трансфертных ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004 ; ; ;Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, бизнес, коммерция, экономика, финансы ;«Вопросы статистики» ;2004 ;журнал ;омонимия снята;  Денежные переводы мигрантов, существенно выросшие по объёму, особенно в последние годы, выступают мощным стимулирующим фактором развития трансфертных систем.  [Денежные переводы мигрантов -- фактор инновационного развития мировой финансовой инфраструктуры // «Вопросы статистики», 2004] [омонимия снята]
 шакраФ-ивэЗ нораА НАМА икдевзар йоксьлиарзи;яапутсыв; израильской разведки (АМАН) Аарон Зэви-Фаркаш, ; выступая ;  ;на экономической конференции, заявивший о ;Израиль вновь обвинил Сирию в пособничестве террористам (2004) // РБК, 2004.09.13 ; ; ;Израиль вновь обвинил Сирию в пособничестве террористам ;2004 ;публицистика, нехудожественная ;заметка ;политика и общественная жизнь ;РБК ;2004.09.13 ;электронное издание ;омонимия снята;" Кроме того, соответствующее заявление сделал шеф израильской разведки (АМАН) Аарон Зэви-Фаркаш, выступая на экономической конференции, заявивший о том, что Сирия продолжает поддерживать деятельность террористической группировки ""Хезболлах"".  [Израиль вновь обвинил Сирию в пособничестве террористам (2004) // РБК, 2004.09.13] [омонимия снята]"
 ятоХ ;йищюапутсыв;   Хотя ; выступающий ;  ;ни разу не упомянул термин ;Интеграция. Часть вторая // «Computerworld», 2004 ; ; ;Интеграция. Часть вторая ;2004 ;публицистика, нехудожественная ;статья ;наука и технологии, информатика ;«Computerworld» ;2004 ;журнал ;омонимия снята;  Хотя выступающий ни разу не упомянул термин ESB (enterprise service bus), QuickSilver будет соответствовать этому определению.  [Интеграция. Часть вторая // «Computerworld», 2004] [омонимия снята]
 аноротс яакснакиремА ;теапутсыв;  Американская сторона ; выступает ;  ;за дальнейшее увеличение числа стран ;Особенности военно-политического курса США на современном этапе (2004) // «Зарубежное военное обозрение», 2004.07.26 ; ; ;Особенности военно-политического курса США на современном этапе ;2004 ;публицистика, нехудожественная ;статья ;армия и вооруженные конфликты ;«Зарубежное военное обозрение» ;2004.07.26 ;газета ;омонимия снята;" Американская сторона выступает за дальнейшее увеличение числа стран ― участниц ИБОР, стремясь добиться её максимальной ""интернационализации"".  [Особенности военно-политического курса США на современном этапе (2004) // «Зарубежное военное обозрение», 2004.07.26] [омонимия снята]"
